Northing,Easting,Depth,Moment Magnitude
10103,15540,8167,-1.702
10116,15575,8198,-1.697
10095,15469,8121,-0.787
9970,15710,8159,-1.295
9981,15710,8203,-1.674
9953,15720,8178,-1.743
9816,15748,8126,-1.230
9810,15753,8074,-1.766
10001,14652,8445,-2.276
10539,15291,8456,-2.745
9498,14934,8214,-2.268
9495,14917,8202,-2.136
10066,14561,8469,-2.247
10031,14567,8580,-2.047
9872,15751,8066,-2.826
9964,14799,8303,-2.190
9978,14782,8289,-1.771
9976,14741,8285,-1.900
10001,14720,8264,-1.072
10004,14742,8286,-1.910
9961,15734,8185,-1.352
9958,15738,8088,-1.421
9976,15718,8148,-1.736
9972,15724,8150,-2.401
9476,15438,8080,-2.226
10222,16092,8428,-1.987
10217,15484,8384,-2.588
9607,15324,7933,-2.161
10509,15180,8338,-1.536
10538,15292,8364,-2.257
10079,15525,8287,-2.054
10532,15263,8372,-1.456
10518,15258,8431,-2.855
11040,15274,8942,-2.139
10985,15296,8960,-1.880
10541,15261,8396,-2.581
10563,15259,8355,-2.271
10883,15463,9016,-2.103
10995,15445,8930,-2.300
10807,15436,9004,-2.773
10491,15588,8454,-2.577
10536,15272,8441,-2.681
9326,15418,8098,0.873
9349,15446,8076,0.809
9331,15416,8099,0.824
9313,15412,8081,0.602
9354,15435,8119,0.118
9333,15421,8092,-0.257
9337,15430,8087,0.674
9331,15412,8112,-0.134
9343,15437,8061,0.058
9365,15451,8080,0.206
9340,15432,8138,0.007
9341,15423,8092,-0.349
9360,15456,8084,0.107
9346,15436,8091,0.037
9384,15464,8101,0.047
9354,15445,8068,0.096
9820,15950,8127,-2.767
9343,15433,8039,-1.898
9957,15404,8209,-2.579
10112,15527,8332,-1.295
10118,15509,8281,-1.918
10495,15256,8328,-0.953
10109,15540,8328,-1.479
10546,15267,8381,-1.670
10528,15257,8355,-1.229
10085,15513,8288,-0.932
10121,15509,8336,-1.250
10516,15329,8348,-2.635
10114,15497,8377,-1.400
10525,15275,8359,-1.547
10134,15533,8328,-1.524
10120,15533,8317,-1.290
10151,15541,8328,-1.582
10139,15530,8353,-1.225
10531,15267,8353,-1.960
10141,15519,8349,-1.043
10132,15528,8346,-1.752
10550,15277,8357,-2.061
10134,15501,8291,-1.349
10128,15518,8360,-1.205
10139,15548,8318,-1.295
10558,15252,8355,-2.323
10516,15279,8355,-2.025
10514,15311,8373,-2.175
9577,15243,7858,-2.599
10013,15658,8254,-1.716
9551,15098,8221,-2.279
10086,15636,8192,-1.755
9426,15567,8138,0.117
9449,15583,8190,0.283
9474,15580,8171,0.114
9490,15592,8133,0.218
9516,15595,8125,0.267
9487,15591,8174,1.029
9462,15561,8177,0.947
9463,15569,8178,0.546
9580,15625,8275,-2.432
10198,15812,8472,-2.317
9955,14488,8415,-2.288
9431,15360,8062,0.084
9235,14953,8084,0.884
9234,14953,8092,0.934
9446,15352,8105,0.337
9455,15352,8097,0.856
9411,15405,8119,0.124
9228,14950,8090,0.440
9449,15329,8085,0.221
9438,15350,8087,0.255
9437,15363,8074,0.206
9447,15373,8089,0.057
9460,15380,8079,0.441
9432,15368,8082,0.222
9233,14951,8046,-0.024
9194,14959,8088,0.338
9230,14975,8066,0.003
9431,15360,8072,0.210
9455,15373,8082,0.134
9418,15338,8093,-0.120
9491,15019,8185,-1.690
9266,14968,8072,-2.096
10161,15682,8316,-1.945
9380,15261,8096,-1.742
10512,15318,8876,-2.237
10365,15336,8338,-2.348
10368,15315,8343,-1.773
10369,15314,8340,-2.708
10487,15292,8757,-2.658
10519,15211,8432,-2.625
9646,15283,8190,-2.584
10572,15290,8453,-2.182
9778,15012,8178,-2.290
10530,15277,8426,-2.909
10535,15290,8439,-2.737
10547,15272,8454,-2.874
10042,15835,8274,-1.529
10900,15178,8821,-1.882
9746,15618,8148,0.094
9759,15636,8182,0.213
9713,15625,8261,1.049
10043,15830,8273,-2.388
10053,15834,8227,-1.613
9837,15569,8182,-2.151
10833,15117,8990,-1.733
10122,15510,8311,-1.741
9507,15443,8133,-3.050
